,source,news
0,https://www.thetimes.co.uk/environment/climate-change,"[{'title': 'What is climate change? The evidence and solutions explained in charts', 'url': 'https://www.thetimes.co.uk/article/what-is-climate-change-the-evidence-and-solutions-explained-in-charts-jtrqp0v0j'}, {'title': '20 things you can do right now to stop climate change', 'url': 'https://www.thetimes.co.uk/article/20-things-you-can-do-right-now-to-stop-climate-change-xklr5qdj5'}, {'title': 'How much do you really know about climate change?', 'url': 'https://www.thetimes.co.uk/article/how-much-do-you-really-know-about-the-climate-crisis-8jn7d03hd'}, {'title': 'Fire, famine and rising seas: the effects of climate change explained', 'url': 'https://www.thetimes.co.uk/article/the-effects-of-climate-change-explained-why-we-need-to-act-now-57hwpmw7h'}, {'title': 'How are countries tackling climate change before Cop26?', 'url': 'https://www.thetimes.co.uk/article/how-are-countries-tackling-climate-change-before-cop26-r8kz63hvj'}, {'title': 'Oil firms lobbied for climate tests to be scrapped', 'url': 'https://www.thetimes.co.uk/article/oil-firms-lobbied-for-climate-tests-to-be-scrapped-sgs9s0cr8'}, {'title': 'Two thirds of city trees are harmed by climate change', 'url': 'https://www.thetimes.co.uk/article/two-thirds-of-city-trees-are-harmed-by-climate-change-k0wgrvnzp'}]"
1,https://www.theguardian.com/environment/climate-crisis,"[{'title': 'Opinion   \n                   \n                    \n                    I fund climate activism – and I applaud the Van Gogh protest ', 'url': 'https://www.theguardian.com/commentisfree/2022/oct/22/just-stop-oil-van-gogh-national-gallery-aileen-getty'}, {'title': 'I fund climate activism – and I applaud the Van Gogh protest', 'url': 'https://www.theguardian.com/commentisfree/2022/oct/22/just-stop-oil-van-gogh-national-gallery-aileen-getty'}, {'title': ""Flooding  'Like something you watch in a movie': climate crisis intensifies with catastrophic floods – video "", 'url': 'https://www.theguardian.com/environment/video/2022/oct/20/climate-crisis-intensifies-with-catastrophic-floods-video'}, {'title': ""'Like something you watch in a movie': climate crisis intensifies with catastrophic floods – video"", 'url': 'https://www.theguardian.com/environment/video/2022/oct/20/climate-crisis-intensifies-with-catastrophic-floods-video'}, {'title': '   \n                   \n                    \n                    If you don’t like climate activists staging art gallery protests, organise something better ', 'url': 'https://www.theguardian.com/commentisfree/2022/oct/18/if-you-dont-like-climate-activists-staging-art-gallery-protests-organise-something-better'}, {'title': 'If you don’t like climate activists staging art gallery protests, organise something better', 'url': 'https://www.theguardian.com/commentisfree/2022/oct/18/if-you-dont-like-climate-activists-staging-art-gallery-protests-organise-something-better'}, {'title': 'Australia news  Bureau of Meteorology was ‘cowering in the corner’ on climate crisis, former staff claim ', 'url': 'https://www.theguardian.com/australia-news/2022/oct/23/bureau-of-meteorology-was-cowering-in-the-corner-on-climate-crisis-former-staff-claim'}, {'title': 'Bureau of Meteorology was ‘cowering in the corner’ on climate crisis, former staff claim', 'url': 'https://www.theguardian.com/australia-news/2022/oct/23/bureau-of-meteorology-was-cowering-in-the-corner-on-climate-crisis-former-staff-claim'}]"
2,https://www.telegraph.co.uk/climate-change/,"[{'title': '\n\nThe Contingency Plan: there’s too much blather in this climate-change disaster duo\n\n', 'url': 'https://www.telegraph.co.uk/theatre/what-to-see/contingency-plan-sheffield-crucible-review-political-message/'}, {'title': '\n\nSadiq Khan must decide if he represents Londoners as a whole or just militant climate activists\n\n', 'url': 'https://www.telegraph.co.uk/opinion/2022/10/14/sadiq-khan-must-decide-represents-londoners-whole-just-militant/'}, {'title': '\n\nLet King Charles go to campaign on climate as head of the Commonwealth\n\n', 'url': 'https://www.telegraph.co.uk/business/2022/10/07/let-king-charles-go-campaign-climate-head-commonwealth/'}, {'title': '\n\nGalwad, review: a climate-change drama that felt more like a lecture by a teenage activist\n\n', 'url': 'https://www.telegraph.co.uk/tv/0/galwad-story-future-review-climate-change-drama-felt-like-lecture/'}, {'title': '\n\nPrince William says the late Queen would have been ‘delighted’ by climate change prize\n\n', 'url': 'https://www.telegraph.co.uk/royal-family/2022/09/21/prince-william-says-late-queen-would-have-delighted-climate/'}]"
3,https://www.bbc.co.uk/news/science_and_environment,"[{'title': 'New East African oil pipeline sparks climate row', 'url': 'https://www.bbc.co.uk/news/world-africa-63212991'}, {'title': 'King Charles should go to COP27 - US climate envoy', 'url': 'https://www.bbc.co.uk/news/science-environment-63350197'}, {'title': 'New East African oil pipeline sparks climate row', 'url': 'https://www.bbc.co.uk/news/world-africa-63212991'}, {'title': 'King Charles should go to COP27 - US climate envoy', 'url': 'https://www.bbc.co.uk/news/science-environment-63350197'}, {'title': 'New East African oil pipeline sparks climate row', 'url': 'https://www.bbc.co.uk/news/world-africa-63212991'}, {'title': 'King Charles should go to COP27 - US climate envoy', 'url': 'https://www.bbc.co.uk/news/science-environment-63350197'}, {'title': 'Can an enormous seaweed farm help curb climate change?', 'url': 'https://www.bbc.co.uk/news/science-environment-63200589'}, {'title': 'New East African oil pipeline sparks climate row', 'url': 'https://www.bbc.co.uk/news/world-africa-63212991'}, {'title': 'Brexit and climate change raised in French meetings', 'url': 'https://www.bbc.co.uk/news/world-europe-guernsey-63357253'}, {'title': 'King Charles should go to COP27 - US climate envoy', 'url': 'https://www.bbc.co.uk/news/science-environment-63350197'}, {'title': 'Why many climate films miss the point', 'url': 'https://www.bbc.co.ukhttps://www.bbc.com/future/article/20221021-how-climate-change-in-film-shape-society'}]"
